Instance: RCO3,
Generation,Optiomal Value,Time
212, 22, 8037 milliseconds
213, 22, 8175 milliseconds
214, 22, 7991 milliseconds
215, 22, 7983 milliseconds
216, 22, 7879 milliseconds
217, 22, 8021 milliseconds
218, 22, 7933 milliseconds
219, 22, 8253 milliseconds
220, 22, 8781 milliseconds
221, 22, 8122 milliseconds
222, 22, 7889 milliseconds
223, 22, 7841 milliseconds
224, 22, 7861 milliseconds
225, 22, 7888 milliseconds
226, 22, 8197 milliseconds
227, 22, 8005 milliseconds
228, 22, 8327 milliseconds
229, 22, 7789 milliseconds
230, 22, 7967 milliseconds
231, 22, 7861 milliseconds
232, 22, 7684 milliseconds
