Instance: RCO4,,
Generation,Optiomal Value,Time
1, 32, 20584 milliseconds
2, 32, 21007 milliseconds
3, 32, 23616 milliseconds
4, 32, 23012 milliseconds
5, 30, 23361 milliseconds
6, 30, 25691 milliseconds
7, 30, 23047 milliseconds
8, 30, 22611 milliseconds
9, 30, 23232 milliseconds
10, 30, 23063 milliseconds
11, 30, 20965 milliseconds
12, 30, 23018 milliseconds
13, 30, 21817 milliseconds
14, 30, 21961 milliseconds
15, 30, 22178 milliseconds
16, 30, 22287 milliseconds
17, 30, 22271 milliseconds
18, 30, 20492 milliseconds
19, 30, 20798 milliseconds
20, 30, 18663 milliseconds
21, 30, 18633 milliseconds
22, 30, 18412 milliseconds
23, 30, 18589 milliseconds
24, 30, 19054 milliseconds
25, 30, 18680 milliseconds
26, 30, 18734 milliseconds
27, 30, 20060 milliseconds
28, 30, 20508 milliseconds
29, 30, 18819 milliseconds
30, 30, 18584 milliseconds
31, 30, 18632 milliseconds
32, 30, 18967 milliseconds
33, 30, 18759 milliseconds
34, 30, 18445 milliseconds
35, 30, 18229 milliseconds
36, 30, 18081 milliseconds
37, 30, 18011 milliseconds
38, 30, 18625 milliseconds
39, 30, 18396 milliseconds
40, 30, 19072 milliseconds
41, 30, 19534 milliseconds
42, 30, 19324 milliseconds
43, 30, 20686 milliseconds
44, 30, 26004 milliseconds
45, 30, 20831 milliseconds
46, 30, 17716 milliseconds
47, 30, 17678 milliseconds
48, 30, 17642 milliseconds
49, 30, 17387 milliseconds
50, 30, 19531 milliseconds
51, 30, 19351 milliseconds
52, 30, 21118 milliseconds
53, 30, 23686 milliseconds
54, 30, 19556 milliseconds
55, 30, 17679 milliseconds
56, 30, 17626 milliseconds
57, 30, 18490 milliseconds
58, 30, 17696 milliseconds
59, 30, 18306 milliseconds
60, 30, 18296 milliseconds
61, 30, 17996 milliseconds
62, 30, 18168 milliseconds
63, 30, 18061 milliseconds
64, 30, 17870 milliseconds
65, 30, 18107 milliseconds
66, 30, 17982 milliseconds
67, 30, 18050 milliseconds
68, 30, 18238 milliseconds
69, 30, 20836 milliseconds
70, 30, 18423 milliseconds
71, 30, 17951 milliseconds
72, 30, 17631 milliseconds
73, 30, 17758 milliseconds
74, 30, 17641 milliseconds
75, 30, 17641 milliseconds
76, 30, 17762 milliseconds
77, 30, 17715 milliseconds
78, 30, 17896 milliseconds
79, 30, 18773 milliseconds
80, 30, 17374 milliseconds
81, 30, 17841 milliseconds
82, 30, 18380 milliseconds
83, 30, 18513 milliseconds
84, 30, 18161 milliseconds
85, 30, 18649 milliseconds
86, 30, 18535 milliseconds
87, 30, 18242 milliseconds
88, 30, 18072 milliseconds
89, 30, 17961 milliseconds
90, 30, 18326 milliseconds
91, 30, 18369 milliseconds
92, 30, 18650 milliseconds
93, 30, 18128 milliseconds
94, 30, 18281 milliseconds
95, 30, 18511 milliseconds
96, 30, 18362 milliseconds
97, 30, 18343 milliseconds
98, 30, 18210 milliseconds
99, 30, 18779 milliseconds
100, 30, 18972 milliseconds
101, 30, 18907 milliseconds
102, 30, 18637 milliseconds
103, 30, 18626 milliseconds
104, 30, 18543 milliseconds
105, 30, 17661 milliseconds
106, 30, 17565 milliseconds
107, 30, 17609 milliseconds
108, 30, 17498 milliseconds
109, 30, 17896 milliseconds
110, 30, 17518 milliseconds
111, 30, 17722 milliseconds
112, 30, 17747 milliseconds
113, 30, 17546 milliseconds
114, 30, 17589 milliseconds
115, 30, 17556 milliseconds
116, 30, 17699 milliseconds
117, 30, 17330 milliseconds
118, 30, 18170 milliseconds
119, 30, 17853 milliseconds
120, 30, 19974 milliseconds
121, 30, 20972 milliseconds
122, 30, 17888 milliseconds
123, 30, 18476 milliseconds
124, 30, 17748 milliseconds
125, 30, 18008 milliseconds
126, 30, 18039 milliseconds
127, 30, 18026 milliseconds
128, 30, 18637 milliseconds
129, 30, 18487 milliseconds
130, 30, 17766 milliseconds
131, 30, 18021 milliseconds
132, 30, 18364 milliseconds
133, 30, 18914 milliseconds
134, 30, 18656 milliseconds
135, 30, 19377 milliseconds
136, 30, 19348 milliseconds
137, 30, 18990 milliseconds
138, 30, 19019 milliseconds
139, 30, 19011 milliseconds
140, 30, 18168 milliseconds
141, 30, 18330 milliseconds
142, 30, 18431 milliseconds
143, 30, 18602 milliseconds
144, 30, 18542 milliseconds
145, 30, 18414 milliseconds
146, 30, 18394 milliseconds
147, 30, 18131 milliseconds
148, 30, 18304 milliseconds
149, 30, 18560 milliseconds
150, 30, 18364 milliseconds
151, 30, 18186 milliseconds
152, 30, 18517 milliseconds
153, 30, 18336 milliseconds
154, 30, 18080 milliseconds
155, 30, 18341 milliseconds
156, 30, 18265 milliseconds
157, 30, 18008 milliseconds
158, 30, 18039 milliseconds
159, 32, 23616 milliseconds
160, 32, 23012 milliseconds
161, 30, 18991 milliseconds
162, 30, 17766 milliseconds
163, 30, 18021 milliseconds
164, 30, 18364 milliseconds
165, 30, 18072 milliseconds
166, 30, 18369 milliseconds
167, 30, 18281 milliseconds
168, 30, 23361 milliseconds
169, 30, 17330 milliseconds
170, 30, 20972 milliseconds
171, 30, 19377 milliseconds
