Instance: RCO5,,
Generation,Optiomal Value,Time
1, 39, 28385 milliseconds
2, 39, 28788 milliseconds
3, 39, 28130 milliseconds
4, 39, 28445 milliseconds
5, 39, 28321 milliseconds
6, 39, 29115 milliseconds
7, 39, 28311 milliseconds
8, 39, 28824 milliseconds
9, 39, 27238 milliseconds
10, 39, 27008 milliseconds
11, 39, 27206 milliseconds
12, 39, 27442 milliseconds
13, 39, 27436 milliseconds
14, 39, 28584 milliseconds
15, 37, 27159 milliseconds
16, 37, 28030 milliseconds
17, 37, 27151 milliseconds
18, 37, 27429 milliseconds
19, 37, 27822 milliseconds
20, 37, 27138 milliseconds
21, 37, 27010 milliseconds
22, 37, 27153 milliseconds
23, 37, 27164 milliseconds
24, 37, 27406 milliseconds
25, 37, 27386 milliseconds
26, 37, 27482 milliseconds
27, 37, 27241 milliseconds
28, 37, 27692 milliseconds
29, 37, 27663 milliseconds
30, 37, 31996 milliseconds
31, 37, 27708 milliseconds
32, 37, 27364 milliseconds
33, 37, 27702 milliseconds
34, 37, 27689 milliseconds
35, 37, 30650 milliseconds
36, 37, 27936 milliseconds
37, 37, 27156 milliseconds
38, 37, 27924 milliseconds
39, 37, 27729 milliseconds
40, 37, 27826 milliseconds
41, 37, 27682 milliseconds
42, 37, 27926 milliseconds
43, 37, 27784 milliseconds
44, 37, 27754 milliseconds
45, 37, 28198 milliseconds
46, 37, 27624 milliseconds
47, 37, 27808 milliseconds
48, 37, 27833 milliseconds
49, 37, 27866 milliseconds
50, 37, 27990 milliseconds
51, 37, 28988 milliseconds
52, 37, 28178 milliseconds
53, 37, 27519 milliseconds
54, 37, 27450 milliseconds
55, 37, 27892 milliseconds
56, 37, 27541 milliseconds
57, 37, 28107 milliseconds
58, 37, 28091 milliseconds
59, 37, 27539 milliseconds
60, 37, 27544 milliseconds
61, 37, 27283 milliseconds
62, 37, 27762 milliseconds
63, 37, 27311 milliseconds
64, 37, 27384 milliseconds
65, 37, 27377 milliseconds
66, 37, 27513 milliseconds
67, 37, 27158 milliseconds
68, 37, 27114 milliseconds
69, 37, 27249 milliseconds
70, 37, 27675 milliseconds
71, 37, 27489 milliseconds
72, 37, 33364 milliseconds
73, 37, 29617 milliseconds
74, 37, 27593 milliseconds
75, 37, 27347 milliseconds
76, 37, 28441 milliseconds
77, 37, 27544 milliseconds
78, 37, 28973 milliseconds
79, 37, 28332 milliseconds
80, 37, 28079 milliseconds
81, 37, 27672 milliseconds
82, 37, 27988 milliseconds
83, 37, 27985 milliseconds
84, 37, 28285 milliseconds
85, 37, 27804 milliseconds
86, 37, 27774 milliseconds
87, 37, 27588 milliseconds
88, 37, 27891 milliseconds
89, 37, 27729 milliseconds
90, 37, 27640 milliseconds
91, 37, 27369 milliseconds
92, 37, 27764 milliseconds
93, 37, 27454 milliseconds
94, 37, 28238 milliseconds
95, 37, 28159 milliseconds
96, 37, 27660 milliseconds
97, 37, 27574 milliseconds
98, 37, 27574 milliseconds
99, 37, 28192 milliseconds
100, 37, 27797 milliseconds
101, 37, 27903 milliseconds
102, 37, 27643 milliseconds
103, 37, 28127 milliseconds
104, 37, 27733 milliseconds
105, 37, 28749 milliseconds
106, 37, 28045 milliseconds
107, 37, 27837 milliseconds
108, 37, 27870 milliseconds
109, 37, 27679 milliseconds
110, 37, 28131 milliseconds
111, 37, 27847 milliseconds
112, 37, 27926 milliseconds
113, 37, 27569 milliseconds
114, 37, 30439 milliseconds
115, 37, 30444 milliseconds
116, 37, 27421 milliseconds
117, 37, 27407 milliseconds
118, 37, 27622 milliseconds
119, 37, 28449 milliseconds
120, 37, 27629 milliseconds
121, 37, 27711 milliseconds
122, 37, 27945 milliseconds
123, 37, 27637 milliseconds
124, 37, 27619 milliseconds
125, 37, 28222 milliseconds
126, 37, 27932 milliseconds
127, 37, 27940 milliseconds
128, 37, 27891 milliseconds
129, 37, 27414 milliseconds
130, 37, 28100 milliseconds
131, 37, 27789 milliseconds
132, 37, 27567 milliseconds
133, 37, 27657 milliseconds
134, 37, 27758 milliseconds
135, 37, 27765 milliseconds
136, 37, 27383 milliseconds
137, 37, 32723 milliseconds
138, 37, 27736 milliseconds
139, 37, 28276 milliseconds
140, 37, 28068 milliseconds
141, 37, 27304 milliseconds
142, 37, 27890 milliseconds
143, 37, 27545 milliseconds
144, 37, 27822 milliseconds
145, 37, 27638 milliseconds
146, 37, 27586 milliseconds
147, 37, 28039 milliseconds
148, 37, 28533 milliseconds
149, 37, 27757 milliseconds
150, 37, 28304 milliseconds
151, 37, 28514 milliseconds
152, 37, 27871 milliseconds
153, 37, 28073 milliseconds
154, 37, 27049 milliseconds
155, 37, 27688 milliseconds
156, 37, 27328 milliseconds
157, 37, 27292 milliseconds
158, 37, 30313 milliseconds
159, 37, 27948 milliseconds
160, 37, 27292 milliseconds
161, 37, 27586 milliseconds
162, 37, 27772 milliseconds
163, 37, 27762 milliseconds
164, 37, 28848 milliseconds
165, 37, 27243 milliseconds
166, 37, 27289 milliseconds
