Instance: SHAPES15,,
Generation,Optiomal Value,Time
1, 66 , 417451 milliseconds
2, 65 , 415730 milliseconds
3, 65 , 423956 milliseconds
4, 65 , 422273 milliseconds
5, 65 , 424182 milliseconds
6, 65 , 421981 milliseconds
7, 65 , 420836 milliseconds
8, 65 , 420580 milliseconds
9, 65 , 421098 milliseconds
10, 65 , 429536 milliseconds
11, 65 , 422094 milliseconds
12, 65 , 426400 milliseconds
13, 65 , 422605 milliseconds
14, 65 , 418933 milliseconds
15, 65 , 419767 milliseconds
16, 65 , 422317 milliseconds
17, 65 , 424007 milliseconds
18, 65 , 424095 milliseconds
19, 65 , 414328 milliseconds
20, 65 , 409062 milliseconds
21, 65 , 423939 milliseconds
22, 64 , 426193 milliseconds
23, 64 , 428037 milliseconds
24, 64 , 425604 milliseconds
25, 64 , 419347 milliseconds
26, 64 , 424351 milliseconds
27, 64 , 420057 milliseconds
28, 64 , 429160 milliseconds
29, 64 , 428085 milliseconds
30, 64 , 424065 milliseconds
31, 64 , 426084 milliseconds
32, 64 , 430075 milliseconds
33, 64 , 426414 milliseconds
34, 64 , 426096 milliseconds
35, 64 , 424200 milliseconds
36, 64 , 426165 milliseconds
37, 64 , 423732 milliseconds
38, 64 , 425338 milliseconds
39, 64 , 421530 milliseconds
40, 64 , 412459 milliseconds
41, 64 , 423532 milliseconds
42, 64 , 473462 milliseconds
43, 64 , 485121 milliseconds
44, 64 , 477927 milliseconds
45, 64 , 480596 milliseconds
46, 64 , 481067 milliseconds
47, 64 , 483030 milliseconds
48, 64 , 479581 milliseconds
49, 64 , 484788 milliseconds
50, 64 , 477320 milliseconds
51, 64 , 481484 milliseconds
52, 64 , 485569 milliseconds
53, 64 , 477126 milliseconds
54, 64 , 480198 milliseconds
55, 64 , 8128472 milliseconds
56, 64 , 490809 milliseconds
57, 64 , 511606 milliseconds
58, 64 , 465740 milliseconds
59, 64 , 432231 milliseconds
60, 64 , 416492 milliseconds
61, 64 , 420611 milliseconds
62, 64 , 418621 milliseconds
63, 64 , 425510 milliseconds
64, 64 , 425742 milliseconds
