Instance: RCO2,,
Generation,Optiomal Value,Time
1, 17, 2601 milliseconds
2, 17, 2493 milliseconds
3, 17, 2574 milliseconds
4, 17, 2481 milliseconds
5, 17, 2473 milliseconds
6, 17, 2620 milliseconds
7, 17, 2506 milliseconds
8, 17, 2506 milliseconds
9, 17, 2617 milliseconds
10, 17, 2936 milliseconds
11, 17, 2470 milliseconds
12, 17, 2462 milliseconds
13, 17, 2562 milliseconds
14, 16, 2891 milliseconds
15, 16, 2745 milliseconds
16, 16, 2839 milliseconds
17, 16, 2733 milliseconds
18, 16, 2652 milliseconds
19, 16, 2391 milliseconds
20, 16, 2348 milliseconds
21, 16, 2469 milliseconds
22, 16, 2390 milliseconds
23, 16, 2407 milliseconds
24, 16, 2405 milliseconds
25, 16, 2468 milliseconds
26, 16, 2419 milliseconds
27, 16, 2411 milliseconds
28, 16, 2370 milliseconds
29, 16, 2409 milliseconds
30, 16, 2654 milliseconds
31, 16, 2334 milliseconds
32, 16, 2317 milliseconds
33, 16, 2331 milliseconds
34, 16, 2356 milliseconds
35, 16, 2429 milliseconds
36, 16, 2383 milliseconds
37, 16, 2359 milliseconds
38, 16, 2484 milliseconds
39, 16, 2379 milliseconds
40, 16, 2367 milliseconds
41, 16, 2373 milliseconds
42, 16, 2854 milliseconds
43, 16, 2412 milliseconds
44, 16, 2415 milliseconds
45, 16, 2424 milliseconds
46, 16, 2717 milliseconds
47, 16, 2383 milliseconds
48, 16, 2400 milliseconds
49, 16, 2384 milliseconds
50, 16, 2453 milliseconds
51, 16, 2419 milliseconds
52, 16, 2440 milliseconds
53, 16, 2380 milliseconds
54, 16, 2387 milliseconds
55, 16, 2433 milliseconds
56, 16, 2401 milliseconds
57, 16, 2432 milliseconds
58, 16, 2444 milliseconds
59, 16, 2460 milliseconds
60, 16, 2434 milliseconds
61, 16, 2418 milliseconds
62, 16, 2428 milliseconds
63, 16, 2622 milliseconds
64, 16, 2561 milliseconds
65, 16, 2461 milliseconds
66, 16, 2474 milliseconds
67, 16, 2533 milliseconds
68, 16, 2802 milliseconds
69, 16, 2718 milliseconds
70, 16, 3079 milliseconds
71, 16, 2968 milliseconds
72, 16, 2646 milliseconds
73, 16, 2485 milliseconds
74, 16, 2382 milliseconds
75, 16, 2424 milliseconds
76, 16, 2512 milliseconds
77, 16, 2840 milliseconds
78, 16, 2381 milliseconds
79, 16, 2429 milliseconds
80, 16, 2429 milliseconds
81, 16, 2389 milliseconds
82, 16, 2401 milliseconds
83, 16, 2438 milliseconds
84, 16, 2423 milliseconds
85, 16, 2367 milliseconds
86, 16, 2482 milliseconds
87, 16, 2406 milliseconds
88, 16, 2724 milliseconds
89, 16, 2541 milliseconds
90, 16, 2548 milliseconds
91, 16, 2320 milliseconds
92, 16, 2486 milliseconds
93, 16, 2313 milliseconds
94, 16, 2323 milliseconds
95, 16, 2311 milliseconds
96, 16, 2365 milliseconds
97, 16, 2324 milliseconds
98, 16, 2387 milliseconds
99, 16, 2361 milliseconds
100, 16, 2653 milliseconds
101, 16, 2349 milliseconds
102, 16, 2437 milliseconds
103, 16, 2344 milliseconds
104, 16, 2464 milliseconds
105, 16, 2452 milliseconds
106, 16, 2356 milliseconds
107, 16, 2417 milliseconds
108, 16, 2340 milliseconds
109, 16, 2363 milliseconds
110, 16, 2334 milliseconds
111, 16, 2447 milliseconds
112, 16, 2513 milliseconds
113, 16, 2409 milliseconds
114, 16, 2391 milliseconds
115, 16, 2429 milliseconds
116, 16, 2414 milliseconds
117, 16, 2368 milliseconds
118, 15, 2410 milliseconds
119, 15, 2703 milliseconds
120, 15, 2887 milliseconds
121, 15, 2520 milliseconds
122, 15, 2437 milliseconds
123, 15, 2570 milliseconds
124, 15, 2494 milliseconds
125, 15, 2433 milliseconds
126, 15, 2392 milliseconds
127, 15, 2418 milliseconds
128, 15, 2423 milliseconds
129, 15, 2438 milliseconds
130, 15, 2407 milliseconds
131, 15, 2432 milliseconds
132, 15, 2450 milliseconds
133, 15, 2470 milliseconds
134, 15, 2724 milliseconds
135, 15, 2476 milliseconds
136, 15, 2551 milliseconds
137, 15, 2468 milliseconds
138, 15, 2489 milliseconds
139, 15, 2875 milliseconds
140, 15, 2478 milliseconds
141, 15, 2461 milliseconds
142, 15, 2409 milliseconds
143, 15, 2755 milliseconds
144, 15, 2565 milliseconds
145, 15, 2439 milliseconds
146, 15, 2418 milliseconds
147, 15, 2519 milliseconds
148, 15, 2588 milliseconds
149, 15, 2635 milliseconds
150, 15, 2958 milliseconds
151, 15, 2624 milliseconds
152, 15, 2463 milliseconds
153, 15, 2502 milliseconds
154, 15, 2484 milliseconds
155, 15, 2568 milliseconds
156, 15, 2622 milliseconds
157, 15, 2503 milliseconds
158, 15, 2488 milliseconds
159, 15, 3041 milliseconds
160, 15, 2649 milliseconds
161, 15, 2627 milliseconds
162, 15, 2483 milliseconds
163, 15, 2552 milliseconds
164, 15, 2536 milliseconds
165, 15, 2451 milliseconds
166, 15, 2588 milliseconds
167, 15, 2505 milliseconds
168, 15, 2488 milliseconds
169, 15, 2454 milliseconds
170, 15, 2383 milliseconds
171, 15, 2388 milliseconds
172, 15, 2515 milliseconds
173, 15, 2507 milliseconds
174, 15, 2533 milliseconds
175, 15, 2401 milliseconds
176, 15, 2479 milliseconds
177, 15, 2980 milliseconds
178, 15, 3110 milliseconds
179, 15, 2457 milliseconds
180, 15, 2543 milliseconds
181, 15, 2634 milliseconds
182, 15, 2579 milliseconds
183, 15, 2514 milliseconds
184, 15, 3822 milliseconds
185, 15, 3656 milliseconds
186, 15, 3398 milliseconds
187, 15, 2758 milliseconds
188, 15, 2683 milliseconds
189, 15, 2819 milliseconds
190, 15, 2689 milliseconds
191, 15, 2822 milliseconds
192, 15, 2386 milliseconds
193, 15, 2450 milliseconds
194, 15, 2348 milliseconds
195, 15, 3089 milliseconds
196, 15, 2699 milliseconds
197, 15, 2429 milliseconds
198, 15, 2456 milliseconds
199, 15, 2349 milliseconds
200, 15, 2324 milliseconds
201, 15, 2330 milliseconds
202, 15, 2427 milliseconds
203, 15, 2499 milliseconds
204, 15, 2317 milliseconds
205, 15, 2344 milliseconds
206, 15, 2515 milliseconds
207, 15, 2361 milliseconds
208, 15, 2315 milliseconds
209, 15, 2437 milliseconds
210, 15, 2487 milliseconds
211, 15, 2337 milliseconds
212, 15, 2353 milliseconds
213, 15, 2369 milliseconds
214, 15, 2355 milliseconds
215, 15, 2403 milliseconds
216, 15, 2658 milliseconds
217, 15, 2360 milliseconds
218, 15, 2387 milliseconds
219, 15, 2383 milliseconds
220, 15, 2592 milliseconds
221, 15, 2326 milliseconds
222, 15, 2426 milliseconds
223, 15, 2355 milliseconds
224, 15, 2370 milliseconds
225, 15, 2346 milliseconds
226, 15, 2406 milliseconds
227, 15, 2357 milliseconds
228, 15, 2453 milliseconds
229, 15, 2476 milliseconds
230, 15, 2359 milliseconds
231, 15, 2339 milliseconds
232, 15, 2469 milliseconds
233, 15, 2647 milliseconds
234, 15, 2916 milliseconds
235, 15, 2561 milliseconds
236, 15, 2466 milliseconds
237, 15, 3019 milliseconds
238, 15, 2655 milliseconds
239, 15, 2345 milliseconds
240, 15, 2512 milliseconds
241, 15, 2841 milliseconds
242, 15, 2879 milliseconds
243, 15, 2632 milliseconds
244, 15, 2364 milliseconds
245, 15, 2466 milliseconds
246, 15, 2389 milliseconds
247, 15, 2350 milliseconds
248, 15, 2421 milliseconds
249, 15, 2398 milliseconds
250, 15, 2378 milliseconds
251, 15, 2378 milliseconds
252, 15, 2509 milliseconds
253, 15, 2288 milliseconds
254, 15, 2296 milliseconds
255, 15, 2350 milliseconds
256, 15, 2406 milliseconds
257, 15, 2704 milliseconds
258, 15, 2305 milliseconds
259, 15, 2305 milliseconds
260, 15, 2320 milliseconds
261, 15, 2505 milliseconds
262, 15, 2279 milliseconds
263, 15, 2317 milliseconds
264, 15, 2283 milliseconds
265, 15, 2376 milliseconds
266, 15, 2405 milliseconds
267, 15, 2350 milliseconds
268, 15, 2328 milliseconds
269, 15, 2557 milliseconds
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"5.0,9.0",
,"0.0,9.0",
,"0.0,5.0",
,/>,
,<polygon class='fil6 str1' points=',
,"2.0,0.0",
,"7.0,0.0",
,"7.0,5.0",
,"6.0,5.0",
,"2.0,1.0",
,/>,
,<polygon class='fil6 str1' points=',
,"4.0,9.0",
,"9.0,9.0",
,"9.0,14.0",
,"8.0,14.0",
,"4.0,10.0",
,/>,
,<polygon class='fil6 str1' points=',
,"4.0,0.0",
,"8.0,0.0",
,"8.0,5.0",
,"4.0,5.0",
,/>,
,<polygon class='fil6 str1' points=',
,"9.0,5.0",
,"10.0,7.0",
,"9.0,9.0",
,"6.0,9.0",
,"5.0,7.0",
,"6.0,5.0",
,/>,
,<polygon class='fil6 str1' points=',
,"12.0,4.0",
,"11.0,5.0",
,"8.0,5.0",
,"8.0,0.0",
,"10.0,0.0",
,"12.0,2.0",
,/>,
,<polygon class='fil6 str1' points=',
,"13.0,13.0",
,"12.0,14.0",
,"9.0,14.0",
,"9.0,9.0",
,"11.0,9.0",
,"13.0,11.0",
,/>,
,<polygon class='fil6 str1' points=',
,"8.0,1.0",
,"10.0,0.0",
,"12.0,1.0",
,"12.0,4.0",
,"10.0,5.0",
,"8.0,4.0",
,/>,
,<polygon class='fil6 str1' points=',
,"0.0,15.0",
,"0.0,13.0",
,"2.0,13.0",
,"2.0,15.0",
,/>,
,12,
,,
,<polygon class='fil6 str1' points=',
,"0.0,0.0",
,"2.0,0.0",
,"2.0,2.0",
,"0.0,2.0",
,/>,
,<polygon class='fil6 str1' points=',
,"1.0,2.0",
,"3.0,2.0",
,"4.0,3.0",
,"4.0,5.0",
,"3.0,6.0",
,"1.0,6.0",
,"0.0,5.0",
,"0.0,3.0",
,/>,
,<polygon class='fil6 str1' points=',
,"0.0,6.0",
,"5.0,6.0",
,"5.0,11.0",
,"4.0,11.0",
,"0.0,7.0",
,/>,
,<polygon class='fil6 str1' points=',
,"2.0,9.0",
,"4.0,12.0",
,"0.0,12.0",
,/>,
,<polygon class='fil6 str1' points=',
,"2.0,0.0",
,"7.0,0.0",
,"7.0,5.0",
,"6.0,5.0",
,"2.0,1.0",
,/>,
,<polygon class='fil6 str1' points=',
,"3.0,6.0",
,"5.0,6.0",
,"6.0,7.0",
,"6.0,9.0",
,"5.0,10.0",
,"3.0,10.0",
,"2.0,9.0",
,"2.0,7.0",
,/>,
