Instance: RCO3,,
Generation,Optimal Value,Time
1, 23, 7243 milliseconds
2, 23, 8178 milliseconds
3, 23, 7939 milliseconds
4, 23, 10436 milliseconds
5, 23, 11499 milliseconds
6, 23, 11515 milliseconds
7, 23, 12358 milliseconds
8, 23, 10279 milliseconds
9, 23, 12704 milliseconds
10, 23, 11219 milliseconds
11, 23, 11937 milliseconds
12, 23, 10821 milliseconds
13, 23, 11580 milliseconds
14, 23, 9303 milliseconds
15, 23, 8478 milliseconds
16, 23, 6988 milliseconds
17, 23, 7841 milliseconds
18, 23, 8178 milliseconds
19, 23, 7754 milliseconds
20, 23, 7497 milliseconds
21, 23, 7927 milliseconds
22, 23, 7497 milliseconds
23, 23, 8897 milliseconds
24, 23, 8584 milliseconds
25, 23, 7518 milliseconds
26, 23, 6303 milliseconds
27, 23, 7638 milliseconds
28, 23, 7692 milliseconds
29, 23, 7584 milliseconds
30, 23, 8272 milliseconds
31, 23, 8648 milliseconds
32, 23, 7844 milliseconds
33, 23, 6226 milliseconds
34, 23, 7616 milliseconds
35, 23, 7616 milliseconds
36, 23, 7873 milliseconds
37, 23, 9550 milliseconds
38, 23, 8640 milliseconds
39, 23, 7512 milliseconds
40, 23, 8563 milliseconds
41, 23, 7107 milliseconds
42, 23, 6504 milliseconds
43, 23, 5845 milliseconds
44, 23, 5933 milliseconds
45, 23, 5802 milliseconds
46, 23, 5766 milliseconds
47, 23, 5925 milliseconds
48, 23, 5871 milliseconds
49, 23, 6139 milliseconds
50, 23, 5919 milliseconds
51, 23, 6132 milliseconds
52, 23, 5892 milliseconds
53, 23, 5847 milliseconds
54, 23, 5827 milliseconds
55, 23, 5818 milliseconds
56, 23, 5923 milliseconds
57, 23, 5933 milliseconds
58, 23, 5911 milliseconds
59, 23, 5776 milliseconds
60, 23, 5812 milliseconds
61, 23, 5838 milliseconds
62, 23, 5788 milliseconds
63, 23, 6061 milliseconds
64, 23, 5798 milliseconds
65, 23, 5882 milliseconds
66, 23, 6046 milliseconds
67, 23, 6465 milliseconds
68, 23, 6135 milliseconds
69, 23, 6208 milliseconds
70, 23, 5918 milliseconds
71, 23, 6027 milliseconds
72, 23, 6206 milliseconds
73, 23, 5998 milliseconds
74, 23, 5964 milliseconds
75, 23, 5871 milliseconds
76, 23, 5973 milliseconds
77, 23, 6179 milliseconds
78, 23, 6050 milliseconds
79, 23, 5989 milliseconds
80, 23, 6000 milliseconds
81, 23, 6096 milliseconds
82, 23, 5934 milliseconds
83, 23, 5878 milliseconds
84, 23, 6265 milliseconds
85, 23, 5962 milliseconds
86, 23, 5749 milliseconds
87, 23, 6373 milliseconds
88, 23, 6487 milliseconds
89, 23, 6112 milliseconds
90, 23, 7167 milliseconds
91, 23, 5990 milliseconds
92, 23, 5923 milliseconds
93, 23, 5780 milliseconds
94, 23, 5983 milliseconds
95, 23, 5802 milliseconds
96, 23, 5855 milliseconds
97, 23, 5920 milliseconds
98, 23, 5759 milliseconds
99, 23, 5871 milliseconds
100, 23, 5825 milliseconds
101, 23, 5731 milliseconds
102, 23, 5727 milliseconds
103, 23, 6022 milliseconds
104, 23, 5755 milliseconds
105, 23, 5790 milliseconds
106, 23, 5923 milliseconds
107, 23, 5670 milliseconds
108, 23, 5868 milliseconds
109, 23, 5733 milliseconds
110, 23, 5779 milliseconds
111, 23, 5947 milliseconds
112, 23, 5705 milliseconds
113, 23, 5919 milliseconds
114, 23, 5832 milliseconds
115, 23, 5847 milliseconds
116, 23, 5956 milliseconds
117, 23, 5770 milliseconds
118, 23, 5987 milliseconds
119, 23, 5755 milliseconds
120, 23, 5713 milliseconds
121, 23, 5889 milliseconds
122, 23, 5823 milliseconds
123, 23, 5665 milliseconds
124, 23, 5786 milliseconds
125, 23, 5701 milliseconds
126, 23, 5765 milliseconds
127, 23, 5896 milliseconds
128, 23, 6003 milliseconds
129, 23, 5818 milliseconds
130, 23, 5766 milliseconds
131, 23, 5773 milliseconds
132, 23, 5761 milliseconds
133, 23, 5732 milliseconds
134, 23, 6379 milliseconds
135, 23, 5786 milliseconds
136, 23, 5868 milliseconds
137, 23, 5748 milliseconds
138, 23, 5834 milliseconds
139, 23, 5911 milliseconds
140, 23, 5934 milliseconds
141, 23, 5752 milliseconds
142, 23, 5800 milliseconds
143, 23, 5734 milliseconds
144, 23, 5944 milliseconds
145, 23, 5914 milliseconds
146, 23, 5806 milliseconds
147, 23, 5641 milliseconds
148, 23, 5721 milliseconds
149, 23, 5917 milliseconds
150, 23, 5885 milliseconds
151, 23, 5867 milliseconds
