Instance: RCO4,,
Generation,Optimal Value,Time
1, 32, 12145 milliseconds
2, 31, 13025 milliseconds
3, 31, 12305 milliseconds
4, 31, 12012 milliseconds
5, 31, 11937 milliseconds
6, 31, 11829 milliseconds
7, 31, 11864 milliseconds
8, 31, 12194 milliseconds
9, 31, 11831 milliseconds
10, 31, 12056 milliseconds
11, 31, 11767 milliseconds
12, 31, 12081 milliseconds
13, 31, 12005 milliseconds
14, 31, 11956 milliseconds
15, 31, 11801 milliseconds
16, 31, 11992 milliseconds
17, 31, 12167 milliseconds
18, 31, 11946 milliseconds
19, 31, 11840 milliseconds
20, 31, 11925 milliseconds
21, 31, 11966 milliseconds
22, 31, 11924 milliseconds
23, 31, 11861 milliseconds
24, 31, 12117 milliseconds
25, 31, 12021 milliseconds
26, 31, 12010 milliseconds
27, 31, 11907 milliseconds
28, 31, 11878 milliseconds
29, 31, 12061 milliseconds
30, 31, 12112 milliseconds
31, 31, 12051 milliseconds
32, 31, 12008 milliseconds
33, 31, 12073 milliseconds
34, 31, 11993 milliseconds
35, 31, 11888 milliseconds
36, 31, 11934 milliseconds
37, 31, 11959 milliseconds
38, 31, 11960 milliseconds
39, 31, 12024 milliseconds
40, 31, 11981 milliseconds
41, 31, 12031 milliseconds
42, 31, 12060 milliseconds
43, 31, 11980 milliseconds
44, 31, 11889 milliseconds
45, 31, 11848 milliseconds
46, 31, 12103 milliseconds
47, 31, 12059 milliseconds
48, 31, 12064 milliseconds
49, 31, 11984 milliseconds
50, 31, 12014 milliseconds
51, 31, 12213 milliseconds
52, 31, 12061 milliseconds
53, 31, 11863 milliseconds
54, 31, 12082 milliseconds
55, 31, 11864 milliseconds
56, 31, 11995 milliseconds
57, 31, 11955 milliseconds
58, 31, 12006 milliseconds
59, 31, 11810 milliseconds
60, 31, 11998 milliseconds
61, 31, 12115 milliseconds
62, 31, 11975 milliseconds
63, 31, 11816 milliseconds
64, 31, 11790 milliseconds
65, 31, 11900 milliseconds
66, 31, 11908 milliseconds
67, 31, 12185 milliseconds
68, 31, 11930 milliseconds
69, 31, 11902 milliseconds
70, 31, 12143 milliseconds
71, 31, 12075 milliseconds
72, 31, 11840 milliseconds
73, 31, 11989 milliseconds
74, 31, 12142 milliseconds
75, 31, 12035 milliseconds
76, 31, 12003 milliseconds
77, 31, 11839 milliseconds
78, 31, 12033 milliseconds
79, 31, 12115 milliseconds
80, 31, 12239 milliseconds
81, 31, 12148 milliseconds
82, 31, 11953 milliseconds
83, 31, 12074 milliseconds
84, 31, 12146 milliseconds
85, 31, 12321 milliseconds
86, 31, 12183 milliseconds
87, 31, 11962 milliseconds
88, 31, 12033 milliseconds
89, 31, 11997 milliseconds
90, 31, 12237 milliseconds
91, 31, 12080 milliseconds
92, 31, 11928 milliseconds
93, 31, 12108 milliseconds
94, 31, 11987 milliseconds
95, 31, 12053 milliseconds
96, 31, 12134 milliseconds
97, 31, 12110 milliseconds
98, 31, 12076 milliseconds
99, 31, 11939 milliseconds
100, 31, 12285 milliseconds
101, 31, 11971 milliseconds
102, 31, 11914 milliseconds
103, 31, 12125 milliseconds
104, 31, 12247 milliseconds
105, 31, 12211 milliseconds
106, 31, 12073 milliseconds
107, 31, 12062 milliseconds
108, 31, 12214 milliseconds
109, 31, 12109 milliseconds
110, 31, 12306 milliseconds
111, 31, 12245 milliseconds
112, 31, 11881 milliseconds
113, 31, 12011 milliseconds
114, 31, 12072 milliseconds
115, 31, 12193 milliseconds
116, 31, 12077 milliseconds
117, 31, 12213 milliseconds
118, 31, 12017 milliseconds
119, 31, 12118 milliseconds
120, 31, 12127 milliseconds
121, 31, 12016 milliseconds
122, 31, 11803 milliseconds
123, 31, 11852 milliseconds
124, 31, 11907 milliseconds
125, 31, 11853 milliseconds
126, 31, 12316 milliseconds
127, 31, 11840 milliseconds
128, 31, 11856 milliseconds
129, 31, 11896 milliseconds
130, 31, 12067 milliseconds
131, 31, 12202 milliseconds
132, 31, 11814 milliseconds
133, 31, 11894 milliseconds
134, 31, 11838 milliseconds
135, 31, 11824 milliseconds
136, 31, 12074 milliseconds
137, 31, 11953 milliseconds
138, 31, 11664 milliseconds
139, 31, 11734 milliseconds
140, 31, 11992 milliseconds
141, 31, 12072 milliseconds
142, 31, 11894 milliseconds
143, 31, 12040 milliseconds
144, 31, 11825 milliseconds
145, 31, 12062 milliseconds
146, 31, 12122 milliseconds
147, 31, 11949 milliseconds
148, 31, 12020 milliseconds
149, 31, 12069 milliseconds
150, 31, 12003 milliseconds
151, 31, 12062 milliseconds
152, 31, 11939 milliseconds
153, 31, 11958 milliseconds
