,,
Instance: BLAZ2,,
Generation,Optiomal Value,Time
212, 14, 2943 milliseconds
213, 14, 2948 milliseconds
214, 14, 2888 milliseconds
215, 14, 2896 milliseconds
216, 14, 2926 milliseconds
217, 14, 2915 milliseconds
218, 14, 2951 milliseconds
219, 14, 3283 milliseconds
220, 14, 2786 milliseconds
221, 14, 2911 milliseconds
222, 14, 2889 milliseconds
223, 14, 2952 milliseconds
224, 14, 2789 milliseconds
225, 14, 2839 milliseconds
226, 14, 2917 milliseconds
227, 14, 2865 milliseconds
228, 14, 3010 milliseconds
229, 14, 2814 milliseconds
230, 14, 3019 milliseconds
231, 14, 2903 milliseconds
232, 14, 3010 milliseconds
233, 14, 2848 milliseconds
234, 14, 2964 milliseconds
235, 14, 2915 milliseconds
236, 14, 2841 milliseconds
237, 14, 2967 milliseconds
238, 14, 2856 milliseconds
239, 14, 2854 milliseconds
240, 14, 2854 milliseconds
241, 14, 2952 milliseconds
242, 14, 2911 milliseconds
243, 14, 2871 milliseconds
244, 14, 2939 milliseconds
245, 14, 2991 milliseconds
246, 14, 2951 milliseconds
247, 14, 2882 milliseconds
248, 14, 2857 milliseconds
249, 14, 2796 milliseconds
250, 14, 2868 milliseconds
251, 14, 2912 milliseconds
252, 14, 3052 milliseconds
253, 14, 2894 milliseconds
254, 14, 2920 milliseconds
255, 14, 2952 milliseconds
256, 14, 2939 milliseconds
257, 14, 2874 milliseconds
258, 14, 2894 milliseconds
259, 14, 2959 milliseconds
260, 14, 2998 milliseconds
261, 14, 2872 milliseconds
262, 14, 2801 milliseconds
263, 14, 2944 milliseconds
264, 14, 2817 milliseconds
265, 14, 2952 milliseconds
266, 14, 2818 milliseconds
267, 14, 2890 milliseconds
268, 14, 2856 milliseconds
269, 14, 3004 milliseconds
270, 14, 2862 milliseconds
271, 14, 2859 milliseconds
272, 14, 2927 milliseconds
273, 14, 2981 milliseconds
274, 14, 2940 milliseconds
275, 14, 2755 milliseconds
276, 14, 2877 milliseconds
277, 14, 2862 milliseconds
278, 14, 2987 milliseconds
279, 14, 2804 milliseconds
280, 14, 2860 milliseconds
281, 14, 2958 milliseconds
282, 14, 2973 milliseconds
283, 14, 2925 milliseconds
284, 14, 2901 milliseconds
285, 14, 2860 milliseconds
286, 14, 2915 milliseconds
287, 14, 2893 milliseconds
288, 14, 2980 milliseconds
289, 14, 2857 milliseconds
290, 14, 2831 milliseconds
291, 14, 2835 milliseconds
292, 14, 2894 milliseconds
293, 14, 2892 milliseconds
294, 14, 2993 milliseconds
295, 14, 2869 milliseconds
296, 14, 2810 milliseconds
297, 14, 2849 milliseconds
298, 14, 2932 milliseconds
299, 14, 2845 milliseconds
300, 14, 2855 milliseconds
301, 14, 2927 milliseconds
302, 14, 2882 milliseconds
303, 14, 2945 milliseconds
304, 14, 2983 milliseconds
305, 14, 4241 milliseconds
306, 14, 3033 milliseconds
307, 14, 3056 milliseconds
308, 14, 3302 milliseconds
309, 14, 3174 milliseconds
310, 14, 2961 milliseconds
311, 14, 2886 milliseconds
312, 14, 2824 milliseconds
313, 14, 2873 milliseconds
