Instance: SHAPES4,,
Generation,Optiomal Value,Time
1, 27, 36570 milliseconds
2, 26, 40630 milliseconds
3, 26, 43652 milliseconds
4, 26, 44659 milliseconds
5, 26, 47325 milliseconds
6, 26, 38424 milliseconds
7, 26, 37365 milliseconds
8, 26, 41333 milliseconds
9, 26, 43973 milliseconds
10, 26, 46993 milliseconds
11, 26, 43033 milliseconds
12, 26, 35930 milliseconds
13, 26, 41299 milliseconds
14, 26, 43886 milliseconds
15, 26, 46187 milliseconds
16, 25, 46220 milliseconds
17, 25, 37203 milliseconds
18, 25, 40525 milliseconds
19, 25, 43507 milliseconds
20, 25, 46186 milliseconds
21, 25, 48112 milliseconds
22, 25, 36119 milliseconds
23, 25, 39732 milliseconds
24, 25, 43169 milliseconds
25, 25, 46316 milliseconds
26, 25, 47014 milliseconds
27, 25, 38498 milliseconds
28, 25, 37740 milliseconds
29, 25, 42772 milliseconds
30, 25, 45439 milliseconds
31, 25, 47362 milliseconds
32, 25, 44016 milliseconds
33, 25, 36733 milliseconds
34, 25, 41118 milliseconds
35, 25, 44414 milliseconds
36, 25, 45656 milliseconds
37, 25, 47527 milliseconds
38, 25, 34904 milliseconds
39, 25, 39408 milliseconds
40, 25, 43166 milliseconds
41, 25, 45409 milliseconds
42, 25, 47248 milliseconds
43, 25, 38605 milliseconds
44, 25, 40097 milliseconds
45, 25, 44119 milliseconds
46, 25, 46610 milliseconds
47, 25, 48144 milliseconds
48, 25, 38832 milliseconds
49, 25, 36984 milliseconds
50, 25, 41099 milliseconds
51, 25, 44663 milliseconds
52, 25, 46646 milliseconds
53, 25, 42628 milliseconds
54, 25, 36274 milliseconds
55, 25, 41278 milliseconds
56, 25, 47558 milliseconds
57, 25, 45866 milliseconds
58, 25, 46910 milliseconds
59, 25, 35419 milliseconds
60, 25, 41401 milliseconds
61, 25, 44479 milliseconds
62, 25, 46464 milliseconds
63, 25, 48221 milliseconds
64, 25, 36481 milliseconds
65, 25, 39577 milliseconds
66, 25, 43891 milliseconds
67, 25, 47109 milliseconds
68, 25, 48225 milliseconds
69, 25, 37753 milliseconds
70, 25, 39877 milliseconds
71, 25, 43497 milliseconds
72, 25, 45049 milliseconds
73, 25, 48105 milliseconds
74, 25, 38530 milliseconds
75, 25, 39199 milliseconds
76, 25, 43331 milliseconds
77, 25, 45210 milliseconds
78, 25, 46756 milliseconds
79, 25, 38652 milliseconds
80, 25, 37306 milliseconds
81, 25, 42171 milliseconds
82, 25, 45161 milliseconds
83, 25, 46759 milliseconds
84, 25, 41053 milliseconds
85, 25, 37040 milliseconds
86, 25, 41309 milliseconds
87, 25, 44408 milliseconds
88, 25, 46282 milliseconds
89, 25, 44618 milliseconds
90, 25, 35384 milliseconds
91, 25, 40023 milliseconds
92, 25, 43339 milliseconds
93, 25, 46023 milliseconds
94, 25, 46303 milliseconds
95, 25, 35431 milliseconds
96, 25, 40133 milliseconds
97, 25, 43154 milliseconds
98, 25, 46266 milliseconds
99, 25, 47286 milliseconds
100, 25, 34752 milliseconds
101, 25, 39546 milliseconds
102, 25, 43299 milliseconds
103, 25, 45559 milliseconds
104, 25, 47828 milliseconds
105, 25, 36102 milliseconds
106, 25, 38961 milliseconds
107, 25, 45194 milliseconds
108, 25, 46496 milliseconds
109, 25, 50538 milliseconds
110, 25, 38855 milliseconds
