Instance: SHAPES2,,
Generation,Optiomal Value,Time
1, 14, 10284 milliseconds
2, 14, 9113 milliseconds
3, 14, 8675 milliseconds
4, 14, 8820 milliseconds
5, 14, 8786 milliseconds
6, 14, 9055 milliseconds
7, 14, 8915 milliseconds
8, 14, 9107 milliseconds
9, 14, 8970 milliseconds
10, 14, 9125 milliseconds
11, 14, 9250 milliseconds
12, 14, 9375 milliseconds
13, 14, 9593 milliseconds
14, 14, 9684 milliseconds
15, 14, 9758 milliseconds
16, 14, 9640 milliseconds
17, 14, 9786 milliseconds
18, 14, 9488 milliseconds
19, 14, 9824 milliseconds
20, 14, 9959 milliseconds
21, 14, 9919 milliseconds
22, 14, 10039 milliseconds
23, 14, 10764 milliseconds
24, 14, 10083 milliseconds
25, 14, 9982 milliseconds
26, 14, 10139 milliseconds
27, 14, 10213 milliseconds
28, 14, 10022 milliseconds
29, 14, 8634 milliseconds
30, 14, 8418 milliseconds
31, 14, 8468 milliseconds
32, 14, 8734 milliseconds
33, 14, 8583 milliseconds
34, 14, 8752 milliseconds
35, 14, 8613 milliseconds
36, 14, 8821 milliseconds
37, 14, 9170 milliseconds
38, 14, 9377 milliseconds
39, 14, 9062 milliseconds
40, 14, 9227 milliseconds
41, 14, 9120 milliseconds
42, 14, 9111 milliseconds
43, 14, 9159 milliseconds
44, 14, 9303 milliseconds
45, 14, 10274 milliseconds
46, 14, 9368 milliseconds
47, 14, 9599 milliseconds
48, 14, 9645 milliseconds
49, 14, 9922 milliseconds
50, 14, 9549 milliseconds
51, 14, 9781 milliseconds
52, 14, 9854 milliseconds
53, 14, 9927 milliseconds
54, 14, 9958 milliseconds
55, 14, 9916 milliseconds
56, 14, 9940 milliseconds
57, 14, 10077 milliseconds
58, 14, 8537 milliseconds
59, 14, 8186 milliseconds
60, 14, 8154 milliseconds
61, 14, 8250 milliseconds
62, 14, 8510 milliseconds
63, 14, 8590 milliseconds
64, 14, 8587 milliseconds
65, 14, 8871 milliseconds
66, 14, 8758 milliseconds
67, 14, 8871 milliseconds
68, 14, 8725 milliseconds
69, 14, 8904 milliseconds
70, 14, 9212 milliseconds
71, 14, 9064 milliseconds
72, 14, 9319 milliseconds
73, 14, 9230 milliseconds
74, 14, 9289 milliseconds
75, 14, 9501 milliseconds
76, 14, 9553 milliseconds
77, 14, 9543 milliseconds
78, 14, 9738 milliseconds
79, 14, 9918 milliseconds
80, 14, 10007 milliseconds
81, 14, 9841 milliseconds
82, 14, 10208 milliseconds
83, 14, 10078 milliseconds
84, 14, 10099 milliseconds
85, 14, 10073 milliseconds
86, 14, 9834 milliseconds
87, 14, 9559 milliseconds
88, 14, 8185 milliseconds
89, 14, 8226 milliseconds
90, 14, 8415 milliseconds
91, 14, 8598 milliseconds
92, 14, 8713 milliseconds
93, 14, 8696 milliseconds
94, 14, 8905 milliseconds
95, 14, 8907 milliseconds
96, 14, 8843 milliseconds
97, 14, 10666 milliseconds
98, 14, 8956 milliseconds
99, 14, 9041 milliseconds
100, 14, 9866 milliseconds
101, 14, 9601 milliseconds
102, 14, 9340 milliseconds
103, 14, 9467 milliseconds
104, 14, 9281 milliseconds
105, 14, 9401 milliseconds
106, 14, 9482 milliseconds
107, 14, 9547 milliseconds
108, 14, 9608 milliseconds
109, 14, 9595 milliseconds
110, 14, 10092 milliseconds
111, 14, 10399 milliseconds
112, 14, 10071 milliseconds
113, 14, 10130 milliseconds
114, 14, 10123 milliseconds
115, 14, 10349 milliseconds
116, 14, 10228 milliseconds
117, 14, 10301 milliseconds
118, 14, 9436 milliseconds
119, 14, 8695 milliseconds
120, 14, 8631 milliseconds
121, 14, 8663 milliseconds
122, 14, 9262 milliseconds
123, 14, 10857 milliseconds
124, 14, 10498 milliseconds
125, 14, 10448 milliseconds
126, 14, 9835 milliseconds
127, 14, 9974 milliseconds
128, 14, 9838 milliseconds
129, 14, 10272 milliseconds
130, 14, 10644 milliseconds
131, 14, 11205 milliseconds
132, 14, 10626 milliseconds
133, 14, 13278 milliseconds
134, 14, 11765 milliseconds
135, 14, 12875 milliseconds
136, 14, 11170 milliseconds
137, 14, 11614 milliseconds
138, 14, 11390 milliseconds
139, 14, 12052 milliseconds
140, 14, 12532 milliseconds
141, 14, 11905 milliseconds
142, 14, 12590 milliseconds
143, 14, 13422 milliseconds
144, 14, 13499 milliseconds
145, 14, 12606 milliseconds
146, 14, 12968 milliseconds
147, 14, 13176 milliseconds
148, 14, 11089 milliseconds
149, 14, 10081 milliseconds
150, 14, 11716 milliseconds
151, 14, 9488 milliseconds
