,Run time 1,Run time 2,Run time 3,Run time 4,Run time 5,Run time 6,Run time 7,Run time 8,Run time 9,Run time 10,Average Execution Time,Optimal Value,Gap(%)
RCO1,1.22,1.23,1.19,1.26,1.22,1.22,1.20,1.22,1.27,1.21,1.22,8.00,0.00
RCO2,5.78,4.01,3.69,2.73,2.75,5.78,2.61,2.56,2.58,2.56,3.51,15.00,0.00
RCO3,799.64,778.08,762.44,789.27,781.81,776.98,762.58,777.72,777.28,776.00,778.18,22.00,0.00
BLAZ1,1.64,1.41,1.55,1.44,1.47,1.41,1.48,1.64,1.46,1.70,1.52,8.00,0.00
BLAZ2,36.00,35.09,35.95,36.39,36.58,35.59,36.50,35.39,37.60,36.90,36.20,14.00,0.00
BLAZ3,"23,145.80","23,545.80","25,412.22","23,482.55","22,975.30","23,182.09","23,247.91","23,256.19","23,120.37","23,152.03","23,452.03",20.00,0.00
SHAPES2,2.16,2.19,2.14,2.19,2.16,2.16,2.16,2.17,2.19,2.17,2.17,14.00,0.00
SHAPES4,"36,000.00","36,000.00","36,000.00","36,000.00","36,000.00","36,000.00","36,000.00","36,000.00","36,000.00","36,000.00","36,000.00",25.00,4.00
